date,year,month,day,port_name,country,import_volume_estimate,export_volume_estimate,vessel_call_count,port_id
2019-03-22 00:00:00+00:00,2019,3,22,CALCUTTA,India,0.0,0.0,0,0
2019-03-23 00:00:00+00:00,2019,3,23,CALCUTTA,India,0.0,0.0,0,0
2019-03-24 00:00:00+00:00,2019,3,24,CALCUTTA,India,0.0,0.0,0,0
2019-03-25 00:00:00+00:00,2019,3,25,CALCUTTA,India,0.0,0.0,0,0
2019-03-26 00:00:00+00:00,2019,3,26,CALCUTTA,India,0.0,0.0,0,0
2019-03-27 00:00:00+00:00,2019,3,27,CALCUTTA,India,0.0,0.0,0,0
2019-03-28 00:00:00+00:00,2019,3,28,CALCUTTA,India,0.0,0.0,0,0
2019-03-29 00:00:00+00:00,2019,3,29,CALCUTTA,India,0.0,0.0,0,0
2019-03-30 00:00:00+00:00,2019,3,30,CALCUTTA,India,0.0,0.0,0,0
2019-03-31 00:00:00+00:00,2019,3,31,CALCUTTA,India,0.0,0.0,0,0
2019-04-01 00:00:00+00:00,2019,4,1,CALCUTTA,India,0.0,0.0,0,0
2019-04-02 00:00:00+00:00,2019,4,2,CALCUTTA,India,0.0,0.0,0,0
2019-04-03 00:00:00+00:00,2019,4,3,CALCUTTA,India,0.0,0.0,0,0
2019-04-04 00:00:00+00:00,2019,4,4,CALCUTTA,India,0.0,0.0,0,0
2019-04-05 00:00:00+00:00,2019,4,5,CALCUTTA,India,0.0,0.0,0,0
2019-04-06 00:00:00+00:00,2019,4,6,CALCUTTA,India,0.0,0.0,0,0
2019-04-07 00:00:00+00:00,2019,4,7,CALCUTTA,India,0.0,0.0,0,0
2019-04-08 00:00:00+00:00,2019,4,8,CALCUTTA,India,0.0,0.0,0,0
2019-04-09 00:00:00+00:00,2019,4,9,CALCUTTA,India,0.0,0.0,0,0
2019-04-10 00:00:00+00:00,2019,4,10,CALCUTTA,India,0.0,0.0,0,0
2019-04-11 00:00:00+00:00,2019,4,11,CALCUTTA,India,0.0,0.0,0,0
2019-04-12 00:00:00+00:00,2019,4,12,CALCUTTA,India,0.0,0.0,0,0
2019-04-13 00:00:00+00:00,2019,4,13,CALCUTTA,India,0.0,0.0,0,0
2019-04-14 00:00:00+00:00,2019,4,14,CALCUTTA,India,0.0,0.0,0,0
2019-04-15 00:00:00+00:00,2019,4,15,CALCUTTA,India,0.0,0.0,0,0
2019-04-16 00:00:00+00:00,2019,4,16,CALCUTTA,India,0.0,0.0,0,0
2019-04-17 00:00:00+00:00,2019,4,17,CALCUTTA,India,0.0,0.0,0,0
2019-04-18 00:00:00+00:00,2019,4,18,CALCUTTA,India,0.0,0.0,0,0
2019-04-19 00:00:00+00:00,2019,4,19,CALCUTTA,India,0.0,0.0,0,0
2019-04-20 00:00:00+00:00,2019,4,20,CALCUTTA,India,0.0,0.0,0,0
2019-04-21 00:00:00+00:00,2019,4,21,CALCUTTA,India,0.0,0.0,0,0
2019-04-22 00:00:00+00:00,2019,4,22,CALCUTTA,India,0.0,0.0,0,0
2019-04-23 00:00:00+00:00,2019,4,23,CALCUTTA,India,0.0,0.0,0,0
2019-04-24 00:00:00+00:00,2019,4,24,CALCUTTA,India,0.0,0.0,0,0
2019-04-25 00:00:00+00:00,2019,4,25,CALCUTTA,India,0.0,0.0,0,0
2019-04-26 00:00:00+00:00,2019,4,26,CALCUTTA,India,0.0,0.0,0,0
2019-04-27 00:00:00+00:00,2019,4,27,CALCUTTA,India,0.0,0.0,0,0
2019-04-28 00:00:00+00:00,2019,4,28,CALCUTTA,India,0.0,0.0,0,0
2019-04-29 00:00:00+00:00,2019,4,29,CALCUTTA,India,0.0,0.0,0,0
2019-04-30 00:00:00+00:00,2019,4,30,CALCUTTA,India,0.0,0.0,0,0
